koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_steff_err1,koi_model_snr
0,0,1,162,59.1
0,1,1,164,35.7
0,0,0,105,93.6
0,1,0,172,1305.9
0,1,0,132,152.6
0,1,0,175,202.1
0,0,1,186,125.6
0,0,0,75,92.3
0,1,1,169,223.1
0,1,0,161,297.0
0,1,0,189,282.8
0,0,0,176,392.3
0,0,0,183,461.5
0,0,0,105,99.5
0,0,0,82,47.7
0,0,0,82,17.6
0,1,1,167,80.2
0,0,0,71,76.9
0,0,0,193,24.7
0,0,0,193,19.0
0,1,1,148,39.8
0,0,0,172,31.6
0,0,0,76,40.6
0,0,0,76,19.6
0,0,0,76,44.8
0,0,0,73,26.8
0,1,1,224,132.1
0,0,0,111,19.4
0,0,0,112,39.4
0,0,0,112,40.5
0,0,0,112,13.2
0,0,0,112,13.3
0,0,0,169,32.9
0,0,0,157,31.3
0,0,0,157,14.7
0,0,0,157,10.2
0,0,0,172,38.1
0,0,0,177,28.3
0,1,1,158,55.2
0,0,0,159,33.2
0,1,0,146,477.0
0,0,1,88,38.5
0,0,0,77,18.5
0,0,0,172,18.0
0,0,0,120,49.1
0,0,0,115,55.2
0,0,0,115,19.8
0,0,1,174,39.3
0,0,0,138,20.4
0,0,0,80,63.0
0,0,0,105,16.3
0,0,1,181,20.6
0,0,0,71,28.4
0,0,0,111,132.0
0,0,0,177,23.7
0,0,0,71,32.5
0,0,0,120,38.2
0,0,1,153,27.5
0,0,0,112,42.5
0,0,0,115,37.5
0,1,0,179,441.7
0,0,0,113,122.8
0,1,0,196,138.9
0,1,1,166,161.2
0,0,1,169,25.4
0,0,0,120,25.9
0,1,0,141,24.7
0,1,0,184,2294.1
0,1,0,152,157.2
0,0,0,175,30.8
0,0,0,172,42.6
0,0,0,107,57.9
0,0,0,152,32.7
0,0,0,152,23.4
0,0,0,119,24.4
0,0,0,51,24.1
0,1,0,139,1509.3
0,1,0,161,647.1
0,0,0,151,212.5
0,1,0,192,172.9
0,1,1,177,229.7
0,0,1,180,94.3
0,1,0,162,126.6
0,0,0,171,68.4
0,1,0,153,114.5
0,1,1,184,291.1
0,1,1,181,86.3
0,0,0,107,544.7
0,0,0,107,23.4
0,0,0,86,95.4
0,1,0,207,36.1
0,1,0,163,171.4
0,1,0,189,183.0
0,1,0,52,987.2
0,1,0,79,885.9
0,1,0,152,142.7
0,1,0,175,424.6
0,0,0,94,141.4
0,1,1,187,72.7
0,0,0,113,3003.8
0,0,0,113,128.0
0,1,0,164,79.6
0,1,0,158,2590.6
0,0,1,156,92.2
0,0,0,85,81.8
0,0,0,183,57.3
0,0,0,172,63.9
0,0,0,90,178.6
0,1,1,183,150.0
0,0,0,173,107.9
0,0,0,71,41.1
0,0,0,71,34.4
0,1,0,106,508.4
0,1,1,219,67.0
0,1,1,155,50.4
0,0,1,176,37.8
0,0,0,83,42.1
0,0,0,54,116.2
0,0,0,133,95.8
0,0,0,84,30.4
0,0,0,172,30.7
0,0,0,179,55.2
0,0,0,179,76.6
0,0,0,71,16.8
0,0,0,70,39.9
0,0,0,130,65.9
0,0,0,76,50.0
0,0,0,112,73.4
1,0,0,116,58.4
0,0,0,157,44.9
0,1,1,190,58.0
0,0,0,65,44.0
0,0,0,176,48.3
0,0,0,113,59.0
0,0,0,82,66.7
0,0,0,83,21.8
0,1,0,163,1266.2
0,0,1,155,39.2
0,1,0,176,22.0
0,0,0,83,33.8
0,0,0,105,33.9
0,0,0,148,32.6
0,0,0,166,21.7
0,0,0,155,34.3
0,0,1,148,77.1
0,0,0,184,35.3
0,1,1,155,118.2
0,0,0,94,114.7
0,0,0,94,37.7
0,0,0,101,66.5
0,0,0,94,22.2
0,0,0,97,40.9
0,0,1,191,26.6
0,0,0,106,34.3
0,0,0,106,20.3
0,0,0,84,21.2
0,0,0,78,1245.7
0,0,0,168,31.9
0,0,1,179,42.4
0,0,0,167,20.2
0,0,0,176,49.2
0,0,0,96,59.4
0,1,0,175,66.3
0,1,0,192,148.1
0,1,1,134,108.8
0,1,0,169,113.6
0,1,0,177,50.5
0,0,0,189,44.4
0,0,1,161,31.7
0,0,0,82,23.2
0,0,0,79,28.4
0,1,1,176,292.1
0,0,0,82,1549.0
0,0,0,119,37.6
0,0,0,189,33.2
0,0,0,72,49.2
0,0,0,155,109.8
0,1,1,156,28.9
0,0,0,173,36.6
0,0,0,173,15.8
0,0,0,101,34.7
0,0,0,101,20.4
0,1,0,166,1131.7
0,0,0,121,28.9
0,0,0,75,12.4
0,0,0,96,13.6
0,0,0,214,46.8
0,0,0,186,51.3
0,0,0,169,27.1
0,1,0,184,929.0
0,0,0,146,30.8
0,0,1,169,37.0
0,0,0,111,72.3
0,0,0,162,119.5
0,1,1,155,103.6
0,0,1,187,17.1
0,0,0,82,31.3
0,0,0,82,15.9
0,0,0,99,47.1
0,0,0,148,1126.2
0,0,0,73,32.9
0,0,0,161,20.1
0,1,1,159,93.0
0,0,0,161,26.3
0,0,0,170,33.2
0,0,0,176,29.7
0,0,0,100,34.8
0,0,0,100,28.9
0,0,1,189,34.2
0,0,0,129,36.8
0,0,0,152,19.5
0,0,0,121,27.7
0,0,0,84,17.9
0,0,0,136,102.8
0,1,0,164,742.2
0,0,0,72,1955.1
0,0,0,154,36.7
0,1,1,157,34.5
0,0,0,113,71.7
0,1,1,169,65.9
0,1,0,158,123.3
0,0,1,187,47.7
0,0,0,196,53.1
0,0,0,182,123.9
0,0,0,182,23.7
0,1,0,192,24.3
0,0,0,151,15.0
0,1,0,85,560.2
0,0,0,181,70.9
0,0,1,193,27.0
0,1,0,165,113.5
0,0,1,137,22.7
0,0,0,72,27.2
0,0,0,174,40.6
0,0,0,182,62.0
1,0,0,112,36.8
0,0,0,112,17.6
0,1,1,159,26.4
0,0,0,114,28.9
0,0,0,114,17.9
0,0,0,173,9.8
0,0,0,77,21.2
0,0,0,177,30.8
0,0,0,79,12.7
0,0,0,157,19.5
0,0,0,77,20.2
0,0,0,85,41.5
0,0,0,114,54.4
0,0,0,110,51.2
0,0,0,74,2833.1
0,0,0,83,22.4
0,0,1,155,36.8
0,0,0,162,19.6
0,0,0,82,54.4
0,0,0,81,15.4
0,0,0,77,1287.4
0,0,0,103,28.2
0,0,0,98,246.6
0,0,0,98,115.1
0,0,1,164,22.7
0,0,1,171,11.5
0,0,0,184,33.3
0,0,0,174,18.0
0,1,1,174,35.4
0,0,0,166,39.5
0,0,0,80,66.5
0,0,0,145,36.1
0,0,0,83,23.2
0,0,0,108,812.6
0,0,0,160,15.7
0,1,0,170,103.9
0,0,0,187,76.6
0,1,0,74,163.4
0,1,1,185,108.9
0,1,0,146,165.3
0,0,0,107,26.0
0,0,0,169,23.3
0,0,0,169,13.9
0,0,0,107,38.4
0,0,0,173,34.3
0,0,0,144,36.3
0,1,0,174,51.4
0,0,0,82,52.6
0,0,0,75,40.2
0,0,0,134,23.8
0,0,0,155,25.0
0,1,0,145,215.0
0,1,1,166,78.8
0,1,1,146,36.0
0,0,0,101,35.3
0,0,0,110,51.3
0,0,0,79,30.8
0,0,0,110,34.7
0,0,0,120,37.7
0,0,0,120,33.6
0,0,0,120,25.3
0,0,0,75,25.6
0,0,0,108,69.1
0,0,0,72,22.9
0,0,0,160,21.7
0,1,1,178,92.8
0,0,0,113,97.9
0,1,1,192,138.4
0,0,0,164,59.7
0,0,1,158,46.0
0,0,0,104,37.7
0,0,0,104,25.4
0,1,0,219,1241.4
0,1,0,155,202.0
0,0,0,78,23.6
0,1,0,161,958.7
0,0,0,78,12.5
0,0,0,159,25.5
0,1,0,113,54.6
0,0,0,158,45.0
0,0,0,75,142.8
0,0,0,166,97.2
0,0,0,77,300.7
0,0,0,84,35.3
0,0,0,84,31.9
0,0,0,86,862.3
0,0,0,105,3535.6
0,0,0,112,155.3
0,1,0,186,205.9
0,1,0,153,538.0
0,0,1,152,59.7
0,0,0,176,18.3
0,0,1,174,39.3
0,0,0,82,40.3
0,0,0,108,30.5
0,0,0,98,18.0
0,0,0,152,59.5
0,0,0,151,31.1
0,0,0,78,20.5
0,0,0,162,44.4
0,0,0,113,23.2
0,0,0,111,339.4
0,0,1,174,52.9
0,1,0,165,261.3
0,1,0,77,408.5
0,1,0,194,423.9
0,1,0,200,990.3
0,0,0,154,128.1
0,0,0,69,26.4
0,0,0,69,1586.2
0,0,0,117,48.5
0,0,0,74,70.0
0,0,0,74,37.9
0,0,0,74,47.7
0,0,0,173,42.1
0,0,0,174,21.1
0,0,0,158,56.7
0,0,0,77,46.8
0,0,0,77,9.9
0,0,0,164,55.1
0,0,1,176,8.3
0,0,0,193,196.6
0,1,0,130,164.4
0,1,0,169,332.0
1,0,0,112,78.6
0,1,1,153,228.9
0,1,1,182,163.7
0,0,0,74,14.9
0,0,0,158,24.5
0,0,0,82,28.7
0,0,0,84,21.7
0,0,0,79,22.7
0,0,0,83,32.2
0,0,0,172,185.5
0,0,0,174,265.4
0,1,1,189,28.8
0,1,0,192,99.5
0,0,0,76,22.8
0,0,0,113,45.4
0,0,0,113,41.6
0,0,0,107,22.5
0,0,0,86,40.3
0,0,0,77,34.7
0,0,0,78,26.2
0,0,0,101,32.8
0,0,0,73,8.6
0,0,0,75,27.6
0,0,0,106,22.4
0,0,0,105,57.2
0,0,0,80,1429.9
0,1,0,175,47.6
0,0,0,158,707.3
0,0,0,74,48.0
0,0,0,78,39.0
0,0,0,78,18.3
0,0,0,169,35.0
0,0,0,105,38.2
0,0,0,97,40.9
0,0,0,79,36.4
0,1,0,162,2145.1
0,0,0,152,33.3
0,0,0,120,373.0
0,0,0,75,14.8
0,0,0,192,15.2
0,0,0,109,28.5
0,0,0,103,51.8
0,0,0,103,56.8
0,0,0,52,90.6
0,0,0,117,21.8
0,0,0,173,38.5
0,0,0,168,39.9
0,0,0,77,34.0
0,0,0,156,26.9
0,0,0,156,23.3
0,0,0,109,30.0
0,0,0,109,11.4
0,0,0,109,9.9
0,0,0,75,17.9
0,0,0,112,27.1
0,0,0,118,33.9
0,0,0,104,41.2
0,0,0,291,35.3
0,0,0,131,36.4
0,0,0,69,36.6
0,0,0,79,39.8
0,0,0,134,30.3
0,1,1,168,102.2
0,0,0,73,448.2
0,0,0,74,30.0
0,0,0,149,423.7
0,0,0,78,35.6
0,0,0,78,40.8
0,0,0,101,49.8
0,0,0,101,59.7
0,0,0,101,29.7
0,0,0,93,38.9
0,0,0,77,9.9
0,1,0,72,28.2
0,0,0,100,32.5
0,0,0,72,38.3
0,0,0,107,30.1
0,0,0,90,11.8
0,0,1,125,14.1
0,0,0,69,48.7
0,0,0,179,40.0
0,0,0,79,48.6
0,0,0,103,44.9
0,0,0,166,23.6
0,0,0,120,856.3
0,0,0,84,33.2
0,0,0,177,80.8
0,0,0,84,21.0
0,0,0,104,41.7
0,0,0,190,38.4
0,0,0,190,28.6
0,0,0,69,36.8
0,0,0,166,17.4
0,0,0,100,26.8
0,0,0,130,33.5
0,0,0,169,28.8
0,0,0,80,480.7
0,0,0,73,9.2
0,0,0,146,56.3
0,0,0,146,43.2
0,0,0,104,21.3
0,0,0,83,38.2
0,0,0,109,38.2
0,0,0,164,26.2
0,1,0,173,273.0
0,0,0,173,31.5
0,0,0,98,45.5
0,0,0,82,33.7
0,0,0,143,57.8
0,0,0,78,38.0
0,0,0,78,14.1
0,0,0,149,21.6
0,0,0,123,32.7
0,0,0,71,47.6
0,0,0,84,46.1
0,0,0,105,49.8
0,0,0,161,37.1
0,0,0,126,30.4
0,0,0,117,41.2
0,0,0,105,42.6
0,0,0,123,508.8
0,0,0,105,52.0
0,0,0,105,20.2
0,0,0,101,34.7
0,0,0,163,37.6
0,0,0,75,38.2
0,0,0,167,37.6
0,0,0,161,35.5
0,0,0,123,34.3
0,0,0,82,37.4
0,0,0,163,33.8
0,0,0,79,28.5
0,0,0,75,34.1
0,0,0,107,51.7
0,0,0,110,50.0
0,0,0,160,55.0
0,0,0,70,34.0
0,0,0,166,40.9
0,0,0,70,49.8
0,0,0,77,43.1
0,0,0,107,34.3
0,0,0,83,226.8
0,0,0,162,31.2
0,0,0,106,15.7
0,0,0,169,35.6
